longitude,latitude,attacktype1_txt
48.216277,41.841127,Armed Assault
37.6173,55.755826,Armed Assault
13.737262,51.050409,Facility/Infrastructure Attack
6.143158,46.204391,Armed Assault
12.373075,51.339696000000004,Facility/Infrastructure Attack
4.376979,50.867429,Armed Assault
-1.234956,54.574227,Facility/Infrastructure Attack
14.273873,50.970912,Armed Assault
44.026374,43.75459,Armed Assault
46.1095,43.3486,Armed Assault
13.003822,55.604981,Facility/Infrastructure Attack
23.707127,37.978577,Bombing/Explosion
23.736655,37.986472,Bombing/Explosion
43.56285,43.393247,Armed Assault
-5.987805,54.62921,Facility/Infrastructure Attack
18.05,59.25,Facility/Infrastructure Attack
18.05,59.25,Facility/Infrastructure Attack
-2.168966,42.897185,Unarmed Assault
-5.987805,54.62921,Hostage Taking (Kidnapping)
10.019734,53.607916,Armed Assault
-6.263987,54.860158,Facility/Infrastructure Attack
-6.000297,54.552675,Armed Assault
17.723419,59.619146,Facility/Infrastructure Attack
46.968242,43.185567,Armed Assault
-7.354642,53.995581,Bombing/Explosion
43.936059,56.296504,Bombing/Explosion
-7.319933,54.996862,Facility/Infrastructure Attack
1.902552,50.971413,Facility/Infrastructure Attack
30.271929,59.984332,Facility/Infrastructure Attack
37.80285,48.015883,Hostage Taking (Kidnapping)
42.474083,43.935611,Assassination
23.332389,42.697141,Unarmed Assault
37.764292,55.733656,Bombing/Explosion
-1.562636,47.208197,Facility/Infrastructure Attack
7.08088,51.466106,Facility/Infrastructure Attack
9.726639,52.381634,Facility/Infrastructure Attack
-0.127758,51.507351,Facility/Infrastructure Attack
12.93965,50.83065,Bombing/Explosion
-5.154444,50.344434,Facility/Infrastructure Attack
-7.329843,54.996468,Bombing/Explosion
23.737845,37.97603,Bombing/Explosion
11.955757,57.691874,Bombing/Explosion
-5.90584,54.596657,Facility/Infrastructure Attack
-6.520675,55.0621,Armed Assault
11.627624,52.120533,Facility/Infrastructure Attack
-6.985728,52.991834,Bombing/Explosion
23.736655,37.986472,Facility/Infrastructure Attack
37.50403,47.942286,Bombing/Explosion
8.946256,44.40565,Facility/Infrastructure Attack
2.364219,48.867376,Unarmed Assault
37.50403,47.942286,Armed Assault
-7.454426,54.82203,Bombing/Explosion
11.353181,44.490842,Bombing/Explosion
9.993682,53.551085,Facility/Infrastructure Attack
8.445291,49.477083,Bombing/Explosion
16.373819,48.208174,Facility/Infrastructure Attack
20.741474,42.215258,Facility/Infrastructure Attack
36.113516,49.884876,Assassination
8.442973,49.484633,Bombing/Explosion
-8.480778,51.918894,Assassination
-6.412426,54.352748,Facility/Infrastructure Attack
1.467584,43.625896,Bombing/Explosion
23.727539,37.98381,Bombing/Explosion
-8.971751,52.600659,Bombing/Explosion
-0.053142,51.43936,Armed Assault
32.413611,34.791246,Assassination
37.973888,48.397537,Armed Assault
-6.652792,54.35028,Bombing/Explosion
2.240045,48.839346,Armed Assault
3.40262,49.045987,Facility/Infrastructure Attack
23.737745,37.987152,Armed Assault
45.681486,43.31688,Armed Assault
-5.99205,54.582655,Armed Assault
38.35449,48.366288,Armed Assault
38.220458,48.43466,Armed Assault
13.335511,52.504886,Unarmed Assault
13.407496,52.53346,Hijacking
-6.025573,54.569464,Bombing/Explosion
-6.69929,54.548191,Bombing/Explosion
9.225688,45.532824,Armed Assault
4.373475,50.857532,Bombing/Explosion
-6.395216,53.321737,Unarmed Assault
5.240045,51.956108,Facility/Infrastructure Attack
20.865999,42.891391,Bombing/Explosion
46.589335,43.256201,Armed Assault
-5.94042,54.590415,Bombing/Explosion
